route,list,show,create,update,delete,backend_file
accounting,yes,no,no,no,no,master-system.routes.ts
api,no,no,no,no,no,
approval,yes,no,no,no,no,extra.routes.ts
approval-matrix,no,no,no,no,no,
choose-property,no,no,no,no,no,
client,yes,no,yes,no,no,company.routes.ts
concierge,yes,no,no,no,no,concierge.routes.ts
content,yes,no,yes,no,no,content.routes.ts
dashboard,yes,no,no,no,no,statistic.routes.ts
dynamic-rate,yes,no,yes,no,no,rate.routes.ts
end-of-day,no,no,no,no,no,
endshift,no,no,no,no,no,
event,yes,no,yes,no,no,event.routes.ts
front-desk,yes,no,no,no,no,front-desk.routes.ts
gallery,no,no,no,no,no,
guest,yes,no,yes,no,no,extra.routes.ts
guest-request,yes,no,no,no,no,extra.routes.ts
hotel-competitor,yes,no,yes,no,no,extra.routes.ts
house-keeping,no,no,no,no,no,
log,yes,no,no,no,no,admin.routes.ts
master-capacity,yes,no,yes,no,no,event.routes.ts
master-inventory,yes,no,no,no,no,event.routes.ts
master-layout,yes,no,no,no,no,event.routes.ts
master-setup,no,no,no,no,no,
master-venue,yes,yes,no,no,no,event.routes.ts
module,no,no,no,no,no,
navigation-menu,no,no,no,no,no,
night-audit,yes,no,no,no,no,master-system.routes.ts
page-builder,no,no,no,no,no,
permission,yes,no,yes,no,no,admin.routes.ts
pos-transactions,no,no,no,no,no,
post,yes,no,no,no,no,
postcode-budget,no,no,no,no,no,
profile,yes,no,no,no,no,company.routes.ts
property,yes,no,yes,no,no,admin.routes.ts
rate-management,no,no,no,no,no,
reporting,no,no,no,no,no,
reservation,yes,no,yes,yes,no,reservation.routes.ts
role,yes,no,yes,no,no,admin.routes.ts
room-statistic,yes,no,yes,no,no,extra.routes.ts
settings,yes,no,yes,no,no,admin.routes.ts
staah,yes,no,yes,no,no,staah.routes.ts
system-balance,yes,no,no,no,no,master-system.routes.ts
user,yes,no,yes,no,no,admin.routes.ts
utility,no,no,no,no,no,
