route,list,show,create,update,delete,backend_file
,no,yes,no,no,no,generic.routes.ts
:model,no,yes,yes,yes,yes,generic.routes.ts
accounting,no,yes,no,no,no,master-system.routes.ts
accounting/:type,no,yes,yes,yes,no,master-system.routes.ts
accounting/adjustment,no,no,no,no,no,
accounting/credit-note,no,no,no,no,no,
accounting/debit-note,no,no,no,no,no,
accounting/get,no,yes,no,no,no,master-system.routes.ts
accounting/invoice,no,no,no,no,no,
accounting/payment,no,no,no,no,no,
accounting/refund,no,no,no,no,no,
allocation-accounting,yes,yes,yes,yes,yes,master-system.routes.ts
allocation-accounting/get-doc,yes,no,no,no,no,master-system.routes.ts
allocation-accounting/store,no,no,yes,no,no,master-system.routes.ts
allocation-history,yes,no,no,no,no,master-system.routes.ts
allotment,yes,yes,yes,yes,yes,extra.routes.ts
allotment-room,yes,no,no,no,no,extra.routes.ts
allotment/room,yes,no,yes,yes,yes,extra.routes.ts
allotments,yes,yes,yes,yes,yes,extra.routes.ts
approval/matrix,yes,no,yes,yes,no,extra.routes.ts
assign-room,yes,no,no,no,no,extra.routes.ts
baggage,yes,no,yes,yes,yes,concierge.routes.ts
baggages,yes,no,yes,yes,yes,concierge.routes.ts
bar,yes,yes,yes,yes,yes,rate.routes.ts
bar-rate,yes,no,yes,no,no,rate.routes.ts
bar-rates,yes,no,yes,no,no,rate.routes.ts
bar/inclusives,yes,no,yes,yes,yes,rate.routes.ts
bar/minimum-rate,yes,no,no,yes,no,rate.routes.ts
bar/rate,yes,no,yes,yes,no,rate.routes.ts
bar/rate-link-listing,yes,no,no,no,no,rate.routes.ts
bar/rate/store,no,no,yes,no,no,rate.routes.ts
batch-posting,yes,no,yes,no,no,front-desk.routes.ts
batch-postings,yes,no,yes,no,no,front-desk.routes.ts
cancelation-rule,yes,yes,yes,yes,yes,content.routes.ts
cancelation-rule-date,yes,yes,yes,yes,yes,content.routes.ts
car-park,yes,no,yes,yes,yes,concierge.routes.ts
car-parks,yes,no,yes,yes,yes,concierge.routes.ts
change-password,no,no,yes,no,no,auth.routes.ts
channel-manager-interface,yes,no,yes,yes,yes,extra.routes.ts
check-value,yes,no,no,no,no,admin.routes.ts, master-system.routes.ts
cities,yes,yes,yes,yes,yes,master-setup.routes.ts
city,yes,yes,yes,yes,yes,master-setup.routes.ts
cityByCountry,yes,no,no,no,no,report.routes.ts
client,yes,yes,yes,yes,yes,company.routes.ts
client-v2,yes,no,no,no,no,company.routes.ts
code-billing,yes,yes,yes,yes,yes,master-setup.routes.ts, master-system.routes.ts
code-billings,yes,yes,yes,yes,yes,master-setup.routes.ts
code-gl,yes,yes,yes,yes,yes,master-setup.routes.ts, master-system.routes.ts
code-gls,yes,yes,yes,yes,yes,master-setup.routes.ts, master-system.routes.ts
code-gls/get-gl,yes,no,no,no,no,master-setup.routes.ts, master-system.routes.ts
code-item,yes,yes,yes,yes,yes,master-setup.routes.ts, master-system.routes.ts
code-items,yes,yes,yes,yes,yes,master-setup.routes.ts
code-post,yes,yes,yes,yes,yes,master-setup.routes.ts, master-system.routes.ts
code-post/get-charge,yes,no,no,no,no,master-setup.routes.ts, master-system.routes.ts
code-post/get-code-items,yes,no,no,no,no,master-setup.routes.ts, master-system.routes.ts
code-posts,yes,yes,yes,yes,yes,master-setup.routes.ts
company,yes,yes,yes,yes,yes,company.routes.ts
company-contract-rate,yes,yes,yes,yes,yes,rate.routes.ts
company-contract-rates,yes,yes,yes,yes,yes,rate.routes.ts
company-profile-billing-setup,yes,yes,yes,yes,yes,company.routes.ts
company-profile/:id/folios,no,no,no,no,yes,folio.routes.ts
company-profiles/:id/folios,no,no,no,no,yes,folio.routes.ts
company-v2,yes,no,no,no,no,company.routes.ts
concierge/baggage,yes,yes,yes,yes,yes,concierge.routes.ts
concierge/car-park,yes,yes,yes,yes,yes,concierge.routes.ts
concierge/lostfound,yes,yes,yes,yes,yes,concierge.routes.ts
concierge/phone-book,yes,no,yes,yes,yes,concierge.routes.ts
concierge/phone-book-group-1,yes,yes,yes,yes,yes,concierge.routes.ts
concierge/phone-book-group-2,yes,yes,yes,yes,yes,concierge.routes.ts
concierge/phone-book-group-3,yes,yes,yes,yes,yes,concierge.routes.ts
concierge/phone-book/tree,yes,no,no,no,no,concierge.routes.ts
content-room,yes,no,yes,yes,yes,extra.routes.ts
content/banner,yes,yes,yes,yes,yes,content.routes.ts
content/content-list,yes,yes,yes,yes,yes,content.routes.ts
content/room,yes,yes,yes,yes,yes,content.routes.ts
content/room/config-pax,yes,yes,yes,yes,yes,content.routes.ts
content/seo-home,yes,yes,yes,yes,yes,content.routes.ts
countries,yes,yes,yes,yes,yes,master-setup.routes.ts
country,yes,yes,yes,yes,yes,master-setup.routes.ts
countryByRegion,yes,no,no,no,no,extra.routes.ts
dashboard,yes,no,no,no,no,statistic.routes.ts
day-use,no,no,no,yes,yes,rate.routes.ts
